TYPE,ADDRESS,CITY,DATE,TIME
Burglary,100  Crysler St,Syracuse,2/8/18,12:01 AM
Burglary,4300  Arlington Cir,Liverpool,1/28/18,12:01 AM
Burglary,200  Lorraine Av,Syracuse,12/8/17,12:01 AM
Burglary,2600  Erie Blvd E,Syracuse,12/2/17,12:01 AM
Larceny,400  Bradford Pkwy,Syracuse,1/26/18,12:01 AM
Larceny,500  Buckingam Av,Syracuse,1/22/18,12:01 AM
Larceny,2300  Milton Av,Solvay,1/12/18,12:01 AM
Larceny,200  Grace St,Syracuse,1/5/18,12:01 AM
Larceny,200  Clover Ridge Dr,Syracuse,12/27/17,12:01 AM
Larceny,7100  Karker Rd,East Syracuse,12/16/17,12:01 AM
Larceny,200  Bartlett Ave,Liverpool,11/29/17,12:01 AM
Larceny,100  Dickerson St,Syracuse,11/12/17,12:01 AM
Larceny,300  Walnut Pl,Syracuse,9/28/17,12:01 AM
Larceny,4000  S  Salina St,Syracuse,9/26/17,12:01 AM
Larceny,400  Fourth St,Liverpool,8/16/17,12:01 AM
Larceny,4700  Onondaga Blvd,Syracuse,7/8/17,12:01 AM
Larceny,400  Springfield Rd,Syracuse,7/2/17,12:01 AM
Vehicle theft,200  Lilac St,Syracuse,1/10/18,12:01 AM
Vehicle theft,100  Steuben St,Syracuse,9/6/17,12:01 AM
Vehicle theft,300  Elm St,Syracuse,8/28/17,12:01 AM
Aggravated assault,500  S  Clinton St,Syracuse,10/31/17,12:02 AM
Burglary,400  E  Washington St,Syracuse,8/5/17,12:02 AM
Larceny,6500  E Seneca Tpke,DeWitt,10/26/17,12:02 AM
Vehicle theft,7200  Oswego Rd,Liverpool,8/22/17,12:02 AM
Larceny,700  Emerson Av,Syracuse,12/29/17,12:03 AM
Larceny,1000  Milton Av,Syracuse,7/3/17,12:03 AM
Robbery,300  Montgomery St,Syracuse,8/12/17,12:04 AM
Aggravated assault,100  Ballantyne Rd,Syracuse,9/16/17,12:05 AM
Vehicle theft,1900  E  Fayette St,Syracuse,2/5/18,12:05 AM
Burglary,0  Presidential Ct,Syracuse,9/11/17,12:06 AM
Murder,2100  E  Fayette St,Syracuse,7/5/17,12:06 AM
Robbery,0  Dablon Ct,Syracuse,8/27/17,12:06 AM
Larceny,5300  W Genesee St,Camillus,12/27/17,12:08 AM
Larceny,400  S  Clinton St,Syracuse,1/17/18,12:09 AM
Larceny,1400  Salt Springs Rd,DeWitt,11/19/17,12:10 AM
Aggravated assault,100  Savaria Dr,Syracuse,12/25/17,12:11 AM
Larceny,3000  Erie Blvd E,Syracuse,1/10/18,12:11 AM
Larceny,4700  Onondaga Blvd,Syracuse,9/2/17,12:11 AM
Larceny,2400  James St,Syracuse,9/4/17,12:12 AM
Aggravated assault,600  Turtle St,Syracuse,11/9/17,12:14 AM
Vehicle theft,200  Magnolia St,Syracuse,10/6/17,12:14 AM
Aggravated assault,100  Maurice Av,Syracuse,6/15/17,12:15 AM
Burglary,200  Erickson St,Syracuse,9/29/17,12:15 AM
Aggravated assault,100  Washington Sq,Syracuse,2/15/18,12:16 AM
Larceny,5800  Bridge St,East Syracuse,9/21/17,12:16 AM
Burglary,200  W  Seneca Tpke,Syracuse,8/13/17,12:17 AM
Larceny,100  Carlisle St,Syracuse,9/13/17,12:17 AM
Robbery,1000  S  Geddes St,Syracuse,10/15/17,12:18 AM
Aggravated assault,2700  Brewerton Rd,Syracuse,6/23/17,12:19 AM
Burglary,100  Comstock Pl,Syracuse,9/14/17,12:19 AM
Larceny,0  Gardner Ct,Liverpool,12/29/17,12:19 AM
